assessment_name,description,test_type,url
Account Manager Solution,Account Manager Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/
Administrative Professional - Short Form,Administrative Professional - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/
Agency Manager Solution,Agency Manager Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/
Apprentice + 8.0 Job Focused Assessment,Apprentice + 8.0 Job Focused Assessment assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
Apprentice 8.0 Job Focused Assessment,Apprentice 8.0 Job Focused Assessment assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
Bank Administrative Assistant - Short Form,Bank Administrative Assistant - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/
Bank Collections Agent - Short Form,Bank Collections Agent - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/
Bank Operations Supervisor - Short Form,Bank Operations Supervisor - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/
Bilingual Spanish Reservation Agent Solution,Bilingual Spanish Reservation Agent Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
"Bookkeeping, Accounting, Auditing Clerk Short Form","Bookkeeping, Accounting, Auditing Clerk Short Form assessment provided by SHL to evaluate relevant skills.",K,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/
Branch Manager - Short Form,Branch Manager - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/
Cashier Solution,Cashier Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/
District/Regional Manager Solution,District/Regional Manager Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/
Entry Level Cashier 7.1 (Americas),Entry Level Cashier 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/
Entry Level Cashier 7.1 (International),Entry Level Cashier 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/
